"","time","name","chairman","id","party","academic","education_fill","text","agenda","statement_number"
"1",14H 30M 0S,"Karina Due",FALSE,"15761","(DF)",FALSE,"No Academic Eduction","
    Tak, formand, og tak til ministeren for at stille op. Finder ministeren det hensigtsmæssigt i et homogent samfund, at der i mange daginstitutioner og lignende udelukkende serveres halalslagtet kød?
    ",NA,222
"2",14H 30M 0S,"Inger Støjberg",FALSE,"182","(V)",FALSE,"No Academic Eduction","
    Jeg ved, at der fortsat er nogle i Danmark – der er også nogle her i Folketinget – som har den holdning, at integration handler om en gensidig tilpasning, nogle, som sådan helt overordnet mener, at indvandrere og danskere skal bøje sig ind mod hinanden, og så mødes man et eller andet sted på midten. Og det kan jeg bare sige, at det er jeg lodret uenig i.
    Jeg vil derfor gerne gentage, hvad jeg har også tidligere har sagt, nemlig at integration ikke er et spørgsmål om, at alle skal give sig lidt, og integration er i hvert fald heller ikke et spørgsmål om, at et mindretal kan få lov til at dominere flertallet, tværtimod, for det danske samfund skal ikke give afkald på sig selv i forbindelse med det, man kunne kalde for en eller anden misforstået hensyntagen.
    Men når det er sagt, er det også min holdning, at det er uacceptabelt, hvis f.eks. landets muslimske mindretal får lov til at sætte sine egne religiøse forskrifter igennem over for et ikkemuslimsk flertal. Det gælder f.eks. krav om rituel slagtning, altså halalkød, som serveres i vores daginstitutioner, på vores sygehuse og på plejehjem, men jeg vil så til gengæld også lade det være op til de lokale beslutningstagere at fastsætte menuen, og jeg har fuld tillid til, at den enkelte kommunalbestyrelse eller den enkelte institution kan vurdere, hvad der er den bedste løsning. Inden for den ramme forventer jeg så, at både kommuner og daginstitutioner medvirker til at løfte integrationsopgaven. De skal f.eks. sørge for, at alle børn ved, hvad det indebærer at leve i Danmark, hvilke regler, hvilke værdier, vi har her, hvilke normer der gælder her, for dem kan vi roligt være stolte af, dem skal vi værne om, og det skal vi hver især.
    ",NA,224
"3",14H 31M 0S,"Karina Due",FALSE,"15761","(DF)",FALSE,"No Academic Eduction","
    Det er jo rigtig dejligt at høre ministeren sige alle de rigtige ting. I Folketingssalen taler Venstre for de danske værdier, men afviser f.eks. at forholde sig til halalkød i de offentlige deklarationer, kønsopdelt svømning osv. osv. Ministeren henviser til, at det må man ordne lokalt. Men når værdidiskussionen så dukker op lokalt, henviser Venstre til, at det må den lokale skolebestyrelse eller svømmehal, eller hvad det nu er, forholde sig til, det vil man ikke politisk gå ind og regulere. Vi har set eksempler på det f.eks. i Horsens, hvor Venstre i foråret var med til at åbne op for flygtningekvinder, der kunne få kønsopdelt svømning, og senest har Venstre i Horsens afvist DF's krav om at udfase halalkød i Horsens Kommunes institutioner. For Venstre virker det, som om værdipolitikken er noget, som andre må tage sig af, men er det ikke på tide, at Venstre står last og brast med Dansk Folkeparti i kampen om de danske værdier?
    ",NA,226
"4",14H 31M 0S,"Inger Støjberg",FALSE,"182","(V)",FALSE,"No Academic Eduction","
    Jeg kan i hvert fald sige, at jeg meget gerne vil tage mig af værdipolitikken. Jeg mener, at det er et overordentlig vigtigt område, faktisk det område, der kommer til at definere Danmark allermest i fremtiden. Måske derfor synes jeg også, at det er helt afgørende, at vi alle sammen kæmper den her kamp netop for danske værdier og normer og regler, der jo er grundlagt generationer før os. Der mener jeg sådan set at vi står stærkest ved at gøre det hver især i daginstitutionerne, i kommunalbestyrelserne og også her, og at man netop ikke i kommunalbestyrelsen kan fralægge sig det ved at sige, at det også er nogle inde på Christiansborg, der har besluttet det her, men at man rent faktisk står stærkest i forsvaret af værdisættet ved, at vi hver især tager den kamp. Jeg tager i hvert fald meget gerne min del.
    ",NA,228
"5",14H 33M 0S,"Karina Due",FALSE,"15761","(DF)",FALSE,"No Academic Eduction","
    Så vil jeg gerne spørge, hvor mange gange og mange steder de lokale Venstrefolk så skal gå stik imod ministerens holdning og dermed regeringens holdning, før ministeren er villig til at begynde at lovgive om det og altså udvise rettidig omhu.
    ",NA,230
"6",14H 33M 0S,"Inger Støjberg",FALSE,"182","(V)",FALSE,"No Academic Eduction","
    Jeg vil i hvert fald sige det sådan, at ingen skal være i tvivl om, hvor jeg står, og hvor regeringen står. Når det er sagt, mener jeg vitterlig, at vi står stærkest og bedst, ved at det er et forsvar, der er i hver enkelt kommune, på hver enkelt institution, og jo også i dagligdagen. Jeg mener rent faktisk, det er en vigtig diskussion at tage både blandt svømmere, der svømmer, og i svømmehallen og i kommunalbestyrelsen, at vi jo har en tradition for, at man svømmer sammen på tværs af køn f.eks., og at det er en grundfæstet dansk værdi, at vi godt kan finde ud af at dyrke fritidsinteresser sammen, og at det faktisk er rigtig sundt, at man gør det på den måde. Men jeg mener, at forsvaret for det står stærkest og bedst, ved at man tager diskussionen lokalt, og at man ikke bare kan henvise til, at det også er noget, de har besluttet inde på Christiansborg. Så man kan ikke sige, at der er et eller andet antal gange, hvis det er det, fru Karina Due fisker efter.
    ",NA,232
"7",14H 34M 0S,"Karina Due",FALSE,"15761","(DF)",FALSE,"No Academic Eduction","
    Vi kunne også prøve at vende det 180 grader og så sige: Hvis nu ministeren ikke vil lovgive om et forbud mod f.eks. halalslagtet kød i danske institutioner, vil ministeren så i det mindste være med til at garantere, at halalkød serveres som et supplement, og at det ikke nødvendigvis skal proppes ned i halsen på de danskere, der ikke ønsker at spise det?
    ",NA,234
"8",14H 34M 0S,"Inger Støjberg",FALSE,"182","(V)",FALSE,"No Academic Eduction","
    Der mener jeg jo igen at det må være op til institutionen og kommunalbestyrelsen. Men jeg synes faktisk, det er en vigtig diskussion at tage. Jeg synes, det er en helt afgørende vigtig diskussion at tage, at man netop ikke som muslimsk mindretal kan pålægge et ikkemuslimsk flertal at leve efter nogle bestemte regler. Sådan skal det ikke være i Danmark.
    ",NA,236
"9",14H 35M 0S,"Karina Due",FALSE,"15761","(DF)",FALSE,"No Academic Eduction","
    Tak for det.
    Finder ministeren det hensigtsmæssigt i et homogent samfund, at der opføres minareter?
    ",NA,239
"10",14H 35M 0S,"Inger Støjberg",FALSE,"182","(V)",FALSE,"No Academic Eduction","
    Jeg vil gerne starte med sige, at jeg heller ikke her på nogen måde har ændret holdning til spørgsmålet om minareter i løbet af de 6 måneder, der er gået, siden vi senest diskuterede det her i Folketinget. Min og regeringens holdning er klar og præcis den samme, som den var i maj, nemlig at vi ikke accepterer parallelsamfund, og at vi vil have et opgør med de huller, som der er blevet slået i danmarkskortet igennem de sidste jo 30-40 år.
    Grundlaget for opførelsen af minareter er derfor noget, som jeg mener der også skal tages stilling til i kommunerne, præcis som man i kommunerne tager stilling til et hvilket som helst andet byggeri. Kommunerne fastlægger lokalplanerne for, hvordan et område kan anvendes, og herunder selvfølgelig også bestemmelser om de bygninger, der kan opføres på et bestemt sted. Og det sikrer efter min mening den bedste demokratiske proces lokalt. Det er efter min opfattelse den helt rigtige måde at regulere det her område på, og det ansvar tror jeg faktisk også på at både Venstres og Dansk Folkepartis medlemmer af kommunalbestyrelserne gerne vil tage på sig.
    Men altså, hvis fru Karina Due spørger til, om jeg mener, at minareter er et udtryk for en islamisering af Danmark – og jeg tror i virkeligheden godt, det kunne havne i den diskussion – så vil jeg sige, at jeg personligt ikke mener, at minareter hører til i et dansk bybillede. Det mener jeg ganske enkelt ikke. Men det er ikke det samme, som at jeg mener, at det skal bestemmes her fra Christiansborg.
    ",NA,241
