"","V1","V2","time","name"
"1"," 09:00
    Meddelelser fra formanden
    
      Fjerde næstformand (Leif Mikkelsen","37. møde (1. udgave - med forbehold for fejl og udeladelser) - Onsdag den 20. december 2017 kl. 9.00
    37. møde
    Onsdag den 20. december 2017 kl. 9.00
    Dagsorden
    
      1) Fortsættelse af forespørgsel nr. F 1 [afstemning]:
    
    
      Forespørgsel til udenrigsministeren og udlændinge- og integrationsministeren om Danmarks stop for kvoteflygtninge.
    
    Af Josephine Fock (ALT), Johanne Schmidt-Nielsen (EL), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF).
    (Anmeldelse 04.10.2017. Fremme 10.10.2017. Forhandling 19.12.2017. Forslag til vedtagelse nr. V 14 af Josephine Fock (ALT), Johanne Schmidt-Nielsen (EL), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF). Forslag til vedtagelse nr. V 15 af Mattias Tesfaye (S). Forslag til vedtagelse nr. V 16 af Christian Langballe (DF). Forslag til vedtagelse nr. V 17 af Marcus Knuth (V), Henrik Dahl (LA) og Naser Khader (KF)).
    
      2) 3. behandling af lovforslag nr. L 37:
    
    Forslag til lov om ændring af lov om registrering af ledningsejere. (Ændring af arbejdsgang med udlevering af standardiserede ledningsoplysninger og udvidelse af lovens anvendelsesområde).
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 04.10.2017. 1. behandling 10.10.2017. Betænkning 30.11.2017. 2. behandling 14.12.2017. Lovforslaget optrykt efter 2. behandling).
    
      3) 3. behandling af lovforslag nr. L 38:
    
    Forslag til lov om ændring af lov om naturgasforsyning og lov om kommunal udligning og generelle tilskud til kommuner. (Øget incitament til konsolidering af naturgasdistributionssektoren og udvidet mulighed for at undtage transmissionsselskabers anlæg fra lov om naturgasforsyning).
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 04.10.2017. 1. behandling 10.10.2017. Betænkning 30.11.2017. 2. behandling 14.12.2017).
    
      4) Eventuelt: 3. behandling af lovforslag nr. L 41:
    
    Forslag til lov om ændring af lov om elektroniske kommunikationsnet og -tjenester. (Offentlige institutioners adgang til etablering af wi-fi-hotspots).
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 04.10.2017. 1. behandling 09.11.2017. Betænkning 07.12.2017. 1. del af 2. behandling 14.12.2017. Tilføjelse til betænkning 15.12.2017. Fortsættelse af 2. behandling 19.12.2017. Lovforslaget optrykt efter 2. behandling).
    
      5) 3. behandling af lovforslag nr. L 66:
    
    Forslag til lov om ændring af lov om elforsyning, lov om fremme af vedvarende energi, lov om naturgasforsyning, lov om Energinet.dk, lov om afgift af elektricitet og forskellige andre love. (Overførsel af opgaver fra Energinet til energi-, forsynings- og klimaministeren m.v.).
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 25.10.2017. 1. behandling 02.11.2017. Betænkning 07.12.2017. 2. behandling 14.12.2017. Lovforslaget optrykt efter 2. behandling).
    
      6) 3. behandling af lovforslag nr. L 93:
    
    Forslag til lov om ændring af lov om varmeforsyning. (Standardisering af regnskabsføring og dataindberetning m.v. for varmeforsyningsvirksomheder til brug for en ny økonomisk regulering).
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 15.11.2017. 1. behandling 24.11.2017. Betænkning 07.12.2017. 2. behandling 14.12.2017).
    
      7) Eventuelt: 3. behandling af lovforslag nr. L 88:
    
    Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Et nyt dagpengesystem for fremtidens arbejdsmarked).
    Af beskæftigelsesministeren (Troels Lund Poulsen).
    (Fremsættelse 14.11.2017. 1. behandling 23.11.2017. Betænkning 13.12.2017. 2. behandling 15.12.2017. Lovforslaget optrykt efter 2. behandling. Tillægsbetænkning 19.12.2017).
    
      8) 3. behandling af lovforslag nr. L 89:
    
    Forslag til lov om kontant og skattefri udbetaling af efterlønsbidrag og fleksydelsesbidrag.
    Af beskæftigelsesministeren (Troels Lund Poulsen).
    (Fremsættelse 14.11.2017. 1. behandling 23.11.2017. Betænkning 13.12.2017. 2. behandling 15.12.2017. Lovforslaget optrykt efter 2. behandling).
    
      9) 3. behandling af lovforslag nr. L 83:
    
    Forslag til lov om ændring af lov om erhvervsuddannelser og lov om Arbejdsgivernes Uddannelsesbidrag. (Øget søgning til erhvervsuddannelse for voksne m.v.).
    Af undervisningsministeren (Merete Riisager).
    (Fremsættelse 09.11.2017. 1. behandling 22.11.2017. Betænkning 12.12.2017. 2. behandling 14.12.2017).
    
      10) 3. behandling af lovforslag nr. L 84:
    
    Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag og forskellige andre love. (Modelparametre for erhvervsuddannelser til brug for beregning af praktikpladsafhængigt arbejdsgiverbidrag, indførelse af modregningsadgang, ændring af klageproces m.v.).
    Af undervisningsministeren (Merete Riisager).
    (Fremsættelse 09.11.2017. 1. behandling 22.11.2017. Betænkning 12.12.2017. 2. behandling 14.12.2017. Lovforslaget optrykt efter 2. behandling).
    
      11) 3. behandling af lovforslag nr. L 107:
    
    Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag, lov om godtgørelse og tilskud til befordring ved deltagelse i erhvervsrettet voksen- og efteruddannelse og lov om statens voksenuddannelsesstøtte. (Nedsættelse af VEU-bidrag, forbedret praktikbonus til arbejdsgivere og forhøjelse af VEU-godtgørelse og Statens Voksenuddannelsesstøtte (SVU) m.v.).
    Af undervisningsministeren (Merete Riisager).
    (Fremsættelse 16.11.2017. 1. behandling 01.12.2017. Betænkning 12.12.2017. 2. behandling 14.12.2017. Lovforslaget optrykt efter 2. behandling. Ændringsforslag nr. 1-6 af 19.12.2017 til 3. behandling af undervisningsministeren (Merete Riisager)).
    
      12) 3. behandling af lovforslag nr. L 80:
    
    Forslag til lov om ændring af udlændingeloven. (Ny kvoteordning).
    Af udlændinge- og integrationsministeren (Inger Støjberg).
    (Fremsættelse 08.11.2017. 1. behandling 28.11.2017. Betænkning 12.12.2017. 2. behandling 15.12.2017).
    
      13) 3. behandling af lovforslag nr. L 94:
    
    Forslag til lov om ændring af udlændingeloven. (Videreførelse af adgangen til opholdstilladelse med henblik på at drive selvstændig erhvervsvirksomhed).
    Af udlændinge- og integrationsministeren (Inger Støjberg).
    (Fremsættelse 15.11.2017. 1. behandling 28.11.2017. Betænkning 12.12.2017. 2. behandling 15.12.2017).
    
      14) 3. behandling af lovforslag nr. L 97:
    
    Forslag til lov om ændring af integrationsloven og lov om danskuddannelse til voksne udlændinge m.fl. (Forenkling og justering af reglerne om fordeling og boligplacering af flygtninge og præcisering af personkreds for danskuddannelse m.v.).
    Af udlændinge- og integrationsministeren (Inger Støjberg).
    (Fremsættelse 15.11.2017. 1. behandling 28.11.2017. Betænkning 12.12.2017. 2. behandling 15.12.2017).
    
      15) 2. (sidste) behandling af beslutningsforslag nr. B 13:
    
    Forslag til folketingsbeslutning om indkvartering af mindreårige asylansøgere.
    Af Martin Henriksen (DF) m.fl.
    (Fremsættelse 10.10.2017. 1. behandling 02.11.2017. Betænkning 12.12.2017).
    
      16) 2. (sidste) behandling af beslutningsforslag nr. B 28:
    
    Forslag til folketingsbeslutning om at sikre tryghed om velfærden.
    Af Benny Engelbrecht (S) og Nicolai Wammen (S).
    (Fremsættelse 08.11.2017. 1. behandling 08.12.2017. Betænkning 18.12.2017).
    ","09:00","Leif Mikkelsen"
"5"," 09:00
    Samtykke til behandling
    
      Fjerde næstformand (Leif Mikkelsen","
    Lovforslag nr. L 123 (Forslag til lov om Vækstfonden).
    Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk.
    ","09:00","Leif Mikkelsen"
"6"," 09:01
    Afstemning
    
      Fjerde næstformand (Leif Mikkelsen","
    De sager, der er opført under punkt 4 og punkt 7 på dagsordenen, kan kun med Tingets samtykke behandles i dette møde. Hvis ingen gør indsigelse, betragter jeg samtykket som givet.
    Det er givet.
    Det første punkt på dagsordenen er:
    
      1) Fortsættelse af forespørgsel nr. F 1 [afstemning]:
    
    
      Forespørgsel til udenrigsministeren og udlændinge- og integrationsministeren om Danmarks stop for kvoteflygtninge.
    
    Af Josephine Fock (ALT), Johanne Schmidt-Nielsen (EL), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF).
    (Anmeldelse 04.10.2017. Fremme 10.10.2017. Forhandling 19.12.2017. Forslag til vedtagelse nr. V 14 af Josephine Fock (ALT), Johanne Schmidt-Nielsen (EL), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF). Forslag til vedtagelse nr. V 15 af Mattias Tesfaye (S). Forslag til vedtagelse nr. V 16 af Christian Langballe (DF). Forslag til vedtagelse nr. V 17 af Marcus Knuth (V), Henrik Dahl (LA) og Naser Khader (KF)).
    ","09:01","Leif Mikkelsen"
"7"," 09:03
    Forhandling
    
      Fjerde næstformand (Leif Mikkelsen","
    Forhandlingen er sluttet, og vi går til afstemning om de stillede forslag til vedtagelse. Der foreligger fire forslag.
    Der stemmes først om forslag til vedtagelse nr. V 17 af Marcus Knuth (V), Henrik Dahl (LA) og Naser Khader (KF), og der kan stemmes.
    Jeg slutter afstemningen.
    For stemte 31 (V, LA og KF), imod stemte 73 (S, DF, EL, ALT, RV og SF), hverken for eller imod stemte 0.
    Forslag til vedtagelse nr. B 17 er forkastet.
    Der stemmes om det næste forslag til vedtagelse nr. V 14 af Josephine Fock (ALT), Johanne Schmidt-Nielsen (EL), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF), og der kan stemmes.
    Jeg slutter afstemningen.
    For stemte 22 (EL, ALT, RV og SF), imod stemte 82 (S, DF, V, LA og KF), hverken for eller imod stemte 0.
    Forslag til vedtagelse nr. V 14 er forkastet.
    Vi går videre i rækken, og så kan der stemmes om forslag til vedtagelse nr. V 15 af Mattias Tesfaye (S), og der kan stemmes.
    Jeg slutter afstemningen.
    For stemte 28 (S), imod stemte 75 (DF, V, EL, LA, ALT, RV, SF og KF), hverken for eller imod stemte 0.
    Forslag til vedtagelse nr. V 15 er forkastet.
    Endelig kan vi stemme om forslag til vedtagelse nr. V 16 af Christian Langballe (DF), og der kan stemmes.
    Jeg slutter afstemningen.
    For stemte 22 (DF), imod stemte 80 (S, V, EL, LA, ALT, RV, SF og KF), hverken for eller imod stemte 0.
    Forslag til vedtagelse nr. V 16 er forkastet.
    Hermed er forespørgslen afsluttet.
    Det næste punkt på dagsordenen er:
    
      2) 3. behandling af lovforslag nr. L 37:
    
    
      Forslag til lov om ændring af lov om registrering af ledningsejere. (Ændring af arbejdsgang med udlevering af standardiserede ledningsoplysninger og udvidelse af lovens anvendelsesområde).
    
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 04.10.2017. 1. behandling 10.10.2017. Betænkning 30.11.2017. 2. behandling 14.12.2017. Lovforslaget optrykt efter 2. behandling).
    ","09:03","Leif Mikkelsen"
"8"," 09:04
    Afstemning
    
      Fjerde næstformand (Leif Mikkelsen","
    Der er ikke stillet ændringsforslag.
    Ønsker nogen at udtale sig?
    Da det ikke er tilfældet, går vi til afstemning.
    ","09:04","Leif Mikkelsen"
"9"," 09:06
    Forhandling
    
      Fjerde næstformand (Leif Mikkelsen","
    Der stemmes om lovforslagets endelige vedtagelse, og der kan stemmes. Afstemningen er slut.
    For stemte 103 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.
    Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.
    Det næste punkt på dagsordenen er:
    
      3) 3. behandling af lovforslag nr. L 38:
    
    
      Forslag til lov om ændring af lov om naturgasforsyning og lov om kommunal udligning og generelle tilskud til kommuner. (Øget incitament til konsolidering af naturgasdistributionssektoren og udvidet mulighed for at undtage transmissionsselskabers anlæg fra lov om naturgasforsyning).
    
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 04.10.2017. 1. behandling 10.10.2017. Betænkning 30.11.2017. 2. behandling 14.12.2017).
    ","09:06","Leif Mikkelsen"
"10"," 09:06
    Afstemning
    
      Fjerde næstformand (Leif Mikkelsen","
    Der er ikke stillet ændringsforslag.
    Ønsker nogen at udtale sig?
    Da det ikke er tilfældet, går vi til afstemning.
    ","09:06","Leif Mikkelsen"
"11"," 09:07
    Forhandling
    
      Fjerde næstformand (Leif Mikkelsen","
    Der stemmes om lovforslagets endelige vedtagelse, og der kan stemmes.
    Jeg slutter afstemningen.
    For stemte 96 (S, DF, V, LA, ALT, RV, SF og KF), imod stemte 9 (EL), hverken for eller imod stemte 0.
    Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.
    Det næste punkt på dagsordenen er:
    
      4) 3. behandling af lovforslag nr. L 41:
    
    
      Forslag til lov om ændring af lov om elektroniske kommunikationsnet og -tjenester. (Offentlige institutioners adgang til etablering af wi-fi-hotspots).
    
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 04.10.2017. 1. behandling 09.11.2017. Betænkning 07.12.2017. 1. del af 2. behandling 14.12.2017. Tilføjelse til betænkning 15.12.2017. Fortsættelse af 2. behandling 19.12.2017. Lovforslaget optrykt efter 2. behandling).
    ","09:07","Leif Mikkelsen"
"12"," 09:07
    Afstemning
    
      Fjerde næstformand (Leif Mikkelsen","
    Der er ikke stillet ændringsforslag.
    Ønsker nogen at udtale sig?
    Da det ikke er tilfældet, går vi til afstemning.
    ","09:07","Leif Mikkelsen"
"13"," 09:07
    Forhandling
    
      Fjerde næstformand (Leif Mikkelsen","
    Der stemmes om lovforslagets endelige vedtagelse.
    Jeg slutter afstemningen.
    For stemte 103 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.
    Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.
    Det næste punkt på dagsordenen er:
    
      5) 3. behandling af lovforslag nr. L 66:
    
    
      Forslag til lov om ændring af lov om elforsyning, lov om fremme af vedvarende energi, lov om naturgasforsyning, lov om Energinet.dk, lov om afgift af elektricitet og forskellige andre love. (Overførsel af opgaver fra Energinet til energi-, forsynings- og klimaministeren m.v.).
    
    Af energi-, forsynings- og klimaministeren (Lars Christian Lilleholt).
    (Fremsættelse 25.10.2017. 1. behandling 02.11.2017. Betænkning 07.12.2017. 2. behandling 14.12.2017. Lovforslaget optrykt efter 2. behandling).
    ","09:07","Leif Mikkelsen"
