"","agenda_url","mentions","date","resume_url"
"1","http://www.ft.dk/samling/20171/salen/19/index.htm",3,2017-11-15,"http://ft.dk/forhandlinger/20171/20171M019_2017-11-15_1300.htm"
"2","http://www.ft.dk/samling/20171/salen/24/index.htm",4,2017-11-28,"http://ft.dk/forhandlinger/20171/20171M024_2017-11-28_1300.htm"
"3","http://www.ft.dk/samling/20171/salen/29/index.htm",3,2017-12-06,"http://ft.dk/forhandlinger/20171/20171M029_2017-12-06_1300.htm"
"4","http://www.ft.dk/samling/20171/salen/32/index.htm",3,2017-12-12,"http://ft.dk/forhandlinger/20171/20171M032_2017-12-12_1300.htm"
"5","http://www.ft.dk/samling/20171/salen/34/index.htm",3,2017-12-14,"http://ft.dk/forhandlinger/20171/20171M034_2017-12-14_1000.htm"
"6","http://www.ft.dk/samling/20171/salen/35/index.htm",3,2017-12-15,"http://ft.dk/forhandlinger/20171/20171M035_2017-12-15_1000.htm"
"7","http://www.ft.dk/samling/20171/salen/37/index.htm",4,2017-12-20,"http://ft.dk/forhandlinger/20171/20171M037_2017-12-20_0900.htm"
"8","http://www.ft.dk/samling/20171/salen/60/index.htm",3,2018-02-20,"http://ft.dk/forhandlinger/20171/20171M060_2018-02-20_1000.htm"
"9","http://www.ft.dk/samling/20171/salen/61/index.htm",3,2018-02-21,"http://ft.dk/forhandlinger/20171/20171M061_2018-02-21_1300.htm"
"10","http://www.ft.dk/samling/20171/salen/69/index.htm",3,2018-03-14,"http://ft.dk/forhandlinger/20171/20171M069_2018-03-14_1300.htm"
"11","http://www.ft.dk/samling/20171/salen/76/index.htm",3,2018-04-04,"http://ft.dk/forhandlinger/20171/20171M076_2018-04-04_1300.htm"
